,ObservationDate,Confirmed,Recovered,Deaths,Population,ISO3,Province/State,Country/Region,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index
11152,2020-01-01,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11153,2020-01-02,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11154,2020-01-03,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11155,2020-01-04,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11156,2020-01-05,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11157,2020-01-06,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11158,2020-01-07,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11159,2020-01-08,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11160,2020-01-09,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11161,2020-01-10,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11162,2020-01-11,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11163,2020-01-12,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11164,2020-01-13,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11165,2020-01-14,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11166,2020-01-15,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11167,2020-01-16,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11168,2020-01-17,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11169,2020-01-18,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11170,2020-01-19,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11171,2020-01-20,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11172,2020-01-21,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11173,2020-01-22,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11174,2020-01-23,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11175,2020-01-24,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11176,2020-01-25,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11177,2020-01-26,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11178,2020-01-27,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11179,2020-01-28,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11180,2020-01-29,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11181,2020-01-30,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11182,2020-01-31,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11183,2020-02-01,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11184,2020-02-02,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11185,2020-02-03,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11186,2020-02-04,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11187,2020-02-05,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11188,2020-02-06,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11189,2020-02-07,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
11190,2020-02-08,0,0,0,18729160.0,CHL,,Chile,0,0,0,0,0,0,0,0,0,0,0,0.0
